feature,importance
mcc_6051_rate,275234.09875303507
was_frozen,105126.7630726099
ch_UPD_rate,33884.43133354187
cp_per_txn,30479.853602170944
days_since_kyc,30205.31135302782
mcc_5933_rate,28737.78967434168
p25_amount,24822.741841733456
ch_CHQ_rate,20250.222040772438
rel_years,15592.9383931458
ch_ATW_rate,13463.718830943108
weekend_rate,12622.698903620243
age,11101.602121293545
n_unique_counterparties,11035.00056090951
night_rate,10716.610737740993
balance_std,9903.691773235798
daily_avg_balance,8536.286424040794
round_5k_rate,8172.73946416378
cv_amount,7953.668407917023
mcc_6012_rate,7064.917838156223
salary_window_rate,6991.755830407143
txn_per_day,6760.074455559254
cc_sum,6478.27538061142
round_10k_rate,6008.153304696083
min_gap_hrs,6004.6714034080505
credit_debit_ratio,5907.0365208387375
amount_burstiness,5902.862241566181
near_50k_rate,5503.407587885857
loan_sum,5274.673488378525
round_1k_rate,5010.378561496735
product_code,4432.291356086731
med_gap_hrs,4160.009267449379
net_flow,3886.0265597105026
passthrough_ratio,3448.2907561063766
ch_MCR_rate,2852.1774352788925
max_txn_to_balance,2314.445585370064
active_span_days,1490.457958638668
balance_range,1476.1832662820816
max_amount,1450.631355524063
median_amount,1410.1258066296577
near_10k_rate,1273.9119954109192
avg_balance,1236.9793345928192
acct_age_txn_ratio,1193.9154126644135
credit_mean,1145.7035672664642
std_amount,1114.159967303276
nomination_flag_enc,1058.9000244140625
ch_UPC_rate,1044.7194714546204
ch_IPM_rate,1017.8249617815018
min_amount,992.8986770510674
quarterly_avg_balance,899.3462927937508
credit_total,815.3998590707779
p75_amount,796.8769365251064
od_sum,743.4450641870499
mean_amount,658.4491062760353
sa_sum,616.607502758503
acct_age_days,608.0533434152603
negative_rate,573.3692875504494
std_gap_hrs,570.0027998685837
mcc_6011_rate,530.6522192060947
mean_daily_amount,526.1663457155228
digital_score,505.98513239622116
burstiness,482.5385651886463
ch_P2A_rate,478.70399659872055
ka_sum,430.89312571287155
monthly_avg_balance,408.75062239170074
credit_max,332.5702841281891
acct_age_months,309.4843521118164
p95_amount,287.5119552016258
txn_to_balance_ratio,282.21403336524963
debit_mean,278.1174521446228
mcc_entropy,259.26029670238495
p10_gap_hrs,244.38662087917328
ch_FTD_rate,240.41964602470398
account_status_enc,235.38858878612518
amount_range,220.44411635398865
debit_max,190.99198949337006
hour_entropy,182.0763463973999
ch_END_rate,180.08494183421135
days_since_mobile_update,175.31075978279114
debit_total,170.87033605575562
total_amount,167.82181906700134
ch_NTD_rate,165.4611296057701
channel_entropy,134.97734647989273
n_active_days,119.09189081192017
num_chequebooks,112.72974026203156
sa_count,109.81917977333069
max_daily_amount,101.14339980483055
max_daily_txn,94.10449934005737
round_50k_rate,90.72314715385437
n_unique_mcc,81.82214069366455
debit_count,78.33560991287231
internet_banking_flag_enc,70.16301703453064
iqr_amount,70.15984058380127
kyc_score,69.03220081329346
pan_available_enc,60.170799255371094
fastag_flag_enc,58.93289756774902
mcc_4814_rate,44.363427340984344
std_daily_txn,42.88929462432861
od_count,33.81750011444092
frozen_duration,29.975226879119873
txn_count,27.245090484619155
mean_daily_txn,24.229300022125244
credit_count,20.333099365234375
atm_card_flag_enc,18.028199434280396
cheque_availed_enc,7.989419937133789
product_family_enc,4.420500040054321
demat_flag_enc,3.1287500858306885
cc_count,2.655679941177368
kyc_compliant_enc,2.124959945678711
loan_count,0.9569839835166931
aadhaar_available_enc,0.6077569723129272
n_channels_used,0.0
cheque_allowed_enc,0.0
had_mobile_update,0.0
was_unfrozen,0.0
rural_branch_enc,0.0
credit_card_flag_enc,0.0
passport_available_enc,0.0
pin_mismatch,0.0
currency_code,0.0
mobile_banking_flag_enc,0.0
n_accounts_customer,0.0
ka_count,0.0
